Username,Comment
Widad Changhai Wista ,"pak masalahnya bukan pendidikan,,,,kampanyenya terlalu muluk2,dan politisasi agama....jgn merendahkan rakyat indonesia...😡"
darmawaty ,berarti yg pilih pak anis khusus aceh cerdas dong👍😅
ariyanto 90. 😊 ,disitulah lah makanya negri konoha ini susah majunya..masarakatnya lebih mudah di. asut.dn di adu domba....😊
sontoloyo ,"tapi masalahnya,yang katanya latar pendidikan nya , tinggi,dan katanyaaaaaaa mengerti kok masih nduabkek"
ahamd ,maaf bos saya lulusan SD aja paham mana yng bicaranya pake data dan fakta.salam cerdas
user4448037200027 edo ,ngoceh
njancuuuk89 ,tel gateeel
baurekso380 ,prettttt
sidoelnya nadilia ,Halah.
arikharismabonari ,"gathel gathel , nyoocooot OPO to Li li"
mayyulis267 ,Apa maksudmu hooiiiii
Taopik Rahman ,betul
warno ,betul sekali
yaya ,saya mengerti apa yg dikatakan Anis Baswedan. oleh sebab itu saya pilih 02☺️
hamba Allah ,betul
Suhandar suhandar ,betul
as.suga ,betul
kopi hitam 1945 ,ANIES ITU SEKELAS SAMA VICKY PRASETYO .ITU FAKTANYA
🅸🅽🅸🆂🅸🅰🅻_🆁🏴‍☠️🌻 ,"bentar orang tua saya yg gak lulus SD bisa memahami secara logika/akal tentang ucapan pak Anies , tanpa uang amplop ini ya ingat itu"
HEER105 ,"mon maap bukannya sombong, gue telah melewati 2 jenjang pendidikan tinggi dan gue lulusan terbaik, dan gue paham dan mengerti dari visi misi anies baswedan lbh masuk akal."
No Habib2 anjingyaman ,Alhamdulillah untungnya anjingyaman kalah pilpres
panturae ,ora g ini PINTAR CERDAS tapi kenapa ya dia gak Cerdas kl skrng ada SESUATU dgn YOHANES ANIS BASDAN bung Gajali HARUS ULANG CARA BERPIKIR ANDA ... .?????
Roy V.P ,Anis spt angin... selalu berubah... makanya tagline nya perubahan hari ini omong a besok B
orang_miskin ,justru yg brpndidikan baik menilai kata2 anis gk masuk akal
Mietha ,"Ya emg Orang baru punya KTP anak2 muda ga tau apa2 yg pilih 02, karena mereka blm tau apa itu Politik dan dampaknya!"
Muhammadsyaiful ,Pendidikan rendah pilih makan gratis
DimasSoCoold ,"parkir air, ktp angin, rumah sehat, sempel darah, izin membangun di tanah pemerintah, jangan katanya tapi faktanya DLL
🤣🤣🤣"
jamessang59 ,"bkn mslah pendidikannya pak tp krn anies g bs kerja kerja kerja sesuai keinginan rakyat indonesianya, maaf 72% lbh rakyat indonesia sdh pintar memilih yg terbaik."
Rafi_23 ,kata kata anis buuuleeet kayak gitu kok mudah di mengerti...yg mengerti ya yg deket anis laah paak...
adimazze ,pantas ada oknum pendukung 01 yg pendidikan tinggi2 mulutnya pd tajem2 kl njelekkin pak prabowo... ternyata berpendidikan baik tdk menjamin mulut nya baik ya pak 😂😂😂😂😂
RG74 ,ngga usah mancing2 ..yg penting pa anies patuh aturan pilpres.. tinggal liat presiden terpilih bisa ngga berpihak k rakyat yg pendidikan nya msh biasa. hukum tumpul kmana?
haikalazka6 ,FAKTANYA BAHWA ANIES BASWEDAN GAK DISUKAI MAYORITAS RAKYAT INDONESIA
umipilam ,keren pinter muter2 kojo angin .pi ter g berbagi.
umipilam ,aku g perlu anis bas edan.aku perlu keiklasan kejujuran seperti p prabowo.
Hasa81kra ,dengan kata lain rakyat indonesia bodoh bodoh dong??????
ANIM SUBANG ,saya lulusan sd tapi saya tidak mengerti pola pikir anis orang nya plinpan ga jelas
sayyidah ida ,SESUAI DENGAN PERNYATAAN RIDWAN KAMIL PENDUKUNG 02 KELAS MENENGAH KEBAWAH
Asep Asep supriadi ,lu bacot ableh
elangbadai715 ,🤣🤣🤣🤣 02 rendah berarti tp mang bener jg si pak anis program pendidikan gratis kg ada yg mau padahal pendidikan gratis d butuhin bngt buat kalangan kaya sy yh hidup pas pasan
Senopati ,Jangan saling merendahkan Pak 🙏
Agus Salim Soemadi ,bahkan presiden nya aja ijazah Nya palsu
hapid nurifan ,mhn maap jangan jumawa bank kami g bodo bodo amat kami tau mana yg baik buat kami rakyat
user7559837378470 ,berarti di Indonesia rakyatnya bisa si bodohin..
IGB ardianta ,"sok tau banget..
cerdas untuk menipu untuk apa..?"
Madnurarifin ,"Bagaimana lebih mudah dimengerti, kalau jawab mutar-muter kok. Ditanya tidak langsung dijawab, tapi muter dulu"
chuan762 ,"ngk pendidikan baik aj pk,tp pya akal sehat,Krn yg ngusung itu kn pendidikan y baik,tp skrg belok smua.
sy pendidikan rendah tp pilih pk Anies Rasyid Baswedan presiden RI."
@ Agung Wasito ,sok tau profesor aja bingung ada parkir air.
LAMBE CEMPRAH ,MASALAHNYA YG MILIH ANIS RENDAH 😆😄
Rosi ,"KLO GITU ANDA JUGA YG TERMASUK 72,4% ITU..TITIK 🤔🤔🤔"
Mu ,"mending 02 jadi tinggi tanpa menjatuhkan mencaci.
beda kelas. sama 01. pintar tapi kagak ada akhlak."
bakul sapi ,kalangan org'stes mgkn
ardiyuda32 ,ya saking baik nya klah deh Anis Baswedan 🤣🤣
irfan ,"saya S1 tp g paham SMA omgan pak Anis,apalagi KTP angin"
Ramdani no 6470 ,anis itu membodohi dan mengadu domba
Phawit Wit ,anis orang paling berbahaya di negara Indonesia tercinta.
lengloi73 ,saya biasa2 ajh ngerti yg diomongin pak anis😂😂fakta mninjukkn pinter omong.bnyk omong.teori dan gak mau kerja..lbh suka mncari celah kelebihan bayar.terlalu dramatis kl omong😂😂😂
Anthony ,"pak Anis memang cerdas karena bicara muter2 pun mampu,pandai merangkai kata
untuk melakukan itu memang butuh kecerdasan, cuma faktanya kurang meyakinkan, Karena untuk perubahan itu tdk mudah"
DAYAK GANTENG ,"saya sangat yakin pak anis akan jadi presiden ke 2024
yang like dan komen harus follow dan pastinya akan di follback"
vestipudji7 ,apa maksud orang ini sok tau dan merendahkan orang yg tidak dia kenal! karna mendukung anis jdi koplak ni!
notoxic 76 ,"SDM rendah kan sangat menyenangkan bagi ""mereka"""
heru ,"setinggi apkah pendidikanmu, sombong, saya tetap p prabowo, walau S1"
satria piningit ,ini ngoceh opo rskyat pinter mikir gk mudah di omong kosong aja klo anis byk omong kodong medki pendidikan nya baik termasuuk anda
Arifah salsabella. ,walaupun kami pendidikan rendah tapi kalau ngomong jujur tidak omon omon tidak carpak
Oshin Tanakura ,"Belagu loh,,,,,"
Hoora ,"pak Anis dukungannya sedikit, karena kayya katanya kurang di mengerti oleh rakyat Indonesia...jadi... Anis kalah ....😂😂😂"
Anggun damay Yanti ,anda ini cm omon2 gk berkelas
LAMBE CEMPRAH ,KALAH YA KALAH... GAK USAH NYLEMOR
Uti Arsih ,KAMI RAKYAT YG BERPENDIDIKAN RENDAH TAPI CERDAS DALAM MENILAI MANA YG BAIK DAN MANA BENAR SALAM CERDAS DAN SLLU WARAS
ardiyanstore ,iya betul bapak... tapi saya obyektif saja sihh dan berprinsip saya gak mau di pimpin oleh orang yg pandai bicara karena biasanya hanya narasi saja tanpa aksi nyata lapangan
Madnurarifin ,Lha wong Anis kalau bicara mutar muter kok dibilang pintar
Umat Nabi Muhammad SAW ,"ABG ini berkata2 ambigu ,cb Cena DG baik maksud dr ucapannya,, yah Berner kt ABG ini 72% berpendidikan rendah buktinya ttp membela pak Anis pdhal ambigu 🤣,, gak faham ambigu kan,ya krna pendidikan"
🧭 Blepout 💞 ,pak Anis otak adu domba NKRI karena gila jabatan
yuningsihwirabuana ,saya mlah ga lulus sd langsung kawin tpi paham pak.anies bicara salam perubahan aamiin.🤲🤲🤲🤲🤲🤲🤲👍🏻👍🏻
Shakti ,KURANG AJAR SI WAJAH PELAWAK INI MENGHINA PENDUKUNG PRABOWO.
jumrisyah ,sombong.....!!!
hari sucahyo ,saya gak sekolah tp ngerti omon nya anus..anus emang terbaik
Mba Aar ,sembarangan..
Ibnu Rizal ,"inilah contoh org yg katanya dapat jaminan surga...
merendahkan org...
menjelekkan org...
suatu saat akan kau pertanggung jawabbkan perkataanmu.."
David Marsudi ,preeeeetttttt.......kutet.
Nurul Hayati ,"hati"" jaga mulut nya"
Genta ,"betul, sangking pinternya bikin parkiran air, sampai angin tak ber KTP"
Arso Mangku ,sok pinter lo
cinkliya ,buktinya banyak y pendidikannya baik .malah dia y tukang korupsi nya😂
rimasukesi908 ,ngenyek ki wong😏
Leo🦁 ,berarti anda merendah rakyat Indonesia
Kasmuri Kasmuri ,jangan bandikan pendidikan adab di atas segalaya
Erlin arief ,"Meskipun Anis Baswedan berpendidikan baik, untungnya apa bang bagi kami yg berpendidikan rendah."
Sandriani601 ,Abah loe pling ngawur 😂😂😂
Riana Tanjung ,"sombong amat orang, orang yg berpendidikan tinggi belum bisa menjadi bijak"
Mata Dewa ,"Saya tidak mengerti bahasa pak anis, mungkin karena saya lulusan SD kali.."
jalur langit ,ya bner pak... rkyat GX ngrti.. tenyata malaikat bsa demo... angin jg GX punya KTP.... 😂😂😂😂
EDYY ,"bukan hanya katanya bisa nggak kerja,rekam jejak Anies menunjukan rendahnya akhlak seorang Anies,jgn janji indonesia mau dibawanya kmana"
oni Andriyanto ,emang gue pikirin
@ogan 77 ,"memang orang pintar bole njelek2in orang , disitu juga masalahnya saya ngga mau pilih dia"
Ellperry Vinoz ,presiden nya aja ijazah nya palsu
Meliati8663 ,kalo ngomong pikir dulu bang.sy rakyat indonesia tersinggung.
Gede Nyeneng962 ,"pendikian rendah itu apakah sertipikat atsu ijasah apa fakta penidikan tinggi itu ?...
dan 72% itu lebih berkarya apa tifak ?.."
Anto Nasution ,sok tau ini😂
amin ,di situlah timbul kesombongan dan pada akhirnya
Deden jojo ,layak nya di yaman 🤣😂🤣😂
wasio ,ketika anis pesen es jeruk. . sya pesen air putih di kasih perasan jeruk yg di belah jdi 2 sedikit di kasih gula dan di masukan ke dlm gelas..
niken ,"tp sampean kok rendah pikirane fakta anis iku bukan sosok bgus,nyata penghibah suka hina orla fakta iki,"
Gading Tirta ,"Gak juga, smua bingung sama omonganya! Mencla mencle"
seloki ,"kalo pendidikan pak anis bagus kenapa kalah telak sama pak yusril, otto, hotman & cs yg lain nya..
01 & 03 gampang sekali untuk dipatahkan mereka yg pengacara bpk prabowo 😃"
setiadisetiadi933 ,"yg ngomong lbh rendah,,,"
user4397435670287 ,cara baru lg provokasi masyarakat ya?
T.JOE BUWONO ,asal njeplak
bondan265 ,maksudnya anda apa ini ya merendahkan rakyat Indonesia
424 ,saya lulusan S teler kebetulan ada duit tp milih wowo ngk milih Anus🤣🤣🤣
kartikotiko673 ,gk penting milih anies
Mardiana Santoso ,"masalahnya Anis Bawesdan hanya teoritis, fakta nya tidak sesuai"
Madnurarifin ,"Saya tidak setuju pendapat Anda, orang yang berintelek justru banyak memilih Prabowo Gibran.
Justru sebaliknya"
𝖄𝖔𝖐𝕻𝖚𝖗8471🇮🇩 ,SOMBONG....tapi gak punya malu 🤣🤣
𝓼𝔂𝓲𝓯𝓪 𝔀𝓪𝓮 𝓪𝓽𝓾𝓱 ,orang berpendidikan belum tentu baik bro
Jack Dasmasela ,Anis teroris
no name ,😁😁😁😁😁 angin gak ada ktpnya udara gak ada ktpnya😁😁😁masalahnya anis tukang obral janji cuma omon omon
Daman Huri ,tetap aja kalah si anis ah ngomong 0po koe bung
PHANK ,gak percaya orang pintar........tp bohong😅😅
heru ,"hobi kok merendahkan orang lain, jadilah orang baik... mikiiiiir"
aku.kamu.kita ,pendukung anies adalah Islam panatik atau pendukung pks sj
ALEX MAHESWARA ,lahhhh ribeddd
otong lenon ,tidak terbalik justru yang mudah di doktrin Anies orang sindrum
cakdi ,percaya pak sampai anis buat angin punya ktp parkir banjjr . anda sehat
wahidd ,kayak anda yg bermasalah🤣🤣🤣🤣
Wahyu Kenzi ,anis lebih cocok jd dosen atau pemimpin pesantren daripada presiden
ranggaens ,brti anis ga pantes dimengerti oleh org indonesia. kan anis juga bukan asli pribumi org indonesia.
aji chen ,"saya s2 aja tdk mengerti kata anis, makanya saya dianggap rendah, cukup kamu aja yg pilih anis"
meysi R.S ,kami memang punya pendidikan rendah tapi adab dan etika kami tdk rendahan
Ucu Bonax ,seharus nya pendidikan rendah juga kalau orang nya pemikirannya ke masa depan bakal maju negara
user9414379765155 ,benar bapak karena sudah 10.tahun rakyat dibodohkan
PUTRA ,"🤣🤣🤧 Anies Baswedan GUBUNUR TERBODO di YouTube,lihat aja di YouTube 🤣🤧"
niiiI ,"sombong , memang Lo pinter sendiri"
sugianto2343 ,lah gek omong opo to kang...dak ada pwngaruhe omonganmu..teori aja lue
Fami Jojo ,Anies pinter ngmong nm y tukang jual obat 😂
johnnyendytarun83 ,JAGA SUKA LKUT2AN MENGHINA nanti karma lho
Taurus28 ,"sama otaknya sama anis,,,pintar ngomong doang🤪"
Pitek Gepuk ,"fakta pendidikan baik, hanya 10% ke TPS !"
imonk ,WAH WAH SEKELOMPOK WARGA TPA
alamsyah7943 ,mana pendidikan baik di sini tps saya ada suarax anis itup yg coblos or tdk punya sekolah
tswardhana ,"pintar, bukan berarti cerdas...."
daniel ,alah gk berlaku cocod mu itu wak faktanya nya di kuburan prabowo juga banyak orang2 pintar
Bunda Aries Setyawan ,"seng penting menang,gk berpendidikan seng pentng hidupe gk penuh kebencian,dan hoak"
antopiyu1 ,masalah sama Annis terlalu banyak omong kosong sama dengan anda
sarjonijoni370 ,Anis botol lebih rendah pola pikirnya faktanya klo orang pendidikan GK akan merendahkan/ menjelekan orang lain
Boedy Harry ,Punya Suara 26%😴 Tapi Berisiknya Minta Ampun 😆Demo Berjilid2😯 Tebar Fitnah Sana Sini Dan Merasa Paling Benar😁 Dasar Mental Pecundang 😎☕
TANI PENYAJI ,"SANGAT COCOK. ABAH ANIES GANTENG, CERDAS, BERIMAN, JUJUR, BAIK HATI, TAMPAN, TIDAK SOMBONG, BANYAK HUTANG, MULIA DAN DAPAT DIPERCAYA. LAYAK JADI PRESIDEN DI INDOSIAR🙏"
Herry Satrio ,"Sok PD ,tapi nggedabrusss tok 😆😆😆 anis dan relawanya tingkah polahnya spt anak SD ."
user3444261214901 ,oleh kelompoknya nyatanya yang katanya dosen ga bisa bedakan kritik dan cacian
Ewing_Aure ,rakyat loe anggap bodoh Effendi justru kita tahu bahasa org munafik 😄😂😁
Ali ,Anis kebanyakan omong alias pemecah belah bangsa
hidayat0340 ,mau baik mau apa keg faktanya kalah ...yg menang merayakan yg kalah menjelaskan.... preeeettt
Ｌｅｅｊｏｕｎｇｐａｉ ,"iya suhu iya,kami SDM rendah,tapi kami punya otak😎"
zikin ,"saya klyah lulus, saya mengerti tp tidak percaya sama omongannya 😂😁"
NO_PRI_78 ,"Apakah dgn pendidikan tinggi, bisa sewenang-wenang merendahkn orang lain."
Sri Nuraeni ,"Dan klo pendidikan rendah,mikirnya gak mau ruwet2 ,cukup dibagi bansos aja udah girang😂"
buat chale ,NGOMONG SAMA ANGIN..YA
Idman Syahpri ,apa bpk bilang kami orang tdk berpendidikan . ap cuma bpk saja yg sekolah. kami yg cerdas justru pilih 02
mas Adi ,"emang pendidikan kamu apa,ati2 kalo ngomong orang berpendidikan kok ngomongnya gak bener"
omon omon ,betol bg... 🥰makanya Indonesia gk maju..
Jaka Irianta ,maksudnya pendukung/pemilih 02 pendidikannya relatif rendah.
ana soviani ,"bkn masalah tinggi pendidikannya, tp akal sehatnya berfungsi dg baik"
blondor 75 ,faktanya Anis cuma nggedabrus
tunggulsitanggang ,"bukan itu bro, yg pilih abis yg fanatik agama nya tinggi, krn dia pake politik identitas saya dan kawan kawan sdh S2 tapi kami pilih prabowo"
firdausazizi ,tetapi yg dapat hidayah cuma sedikit
mandorcobberr ,pak pendidikan rendah tidak masalah asal tidak pemikirannya yang rendah🤣🤣🤣
5 ,"cerdas lah BPK ini, karena ada firman Allah yg baik ketemu yg baik, yg buruk cocok pula sama yg buruk 😂😂😂😂"
wosart ,katanya pendidikan lbh baik tp kalah kok ngamuk?
ko_ko5u91 ,Faktanya anis tukang ngibul
user2007338533259 ,kesimpulannya Anis kalah ya kan? jgn marah ya?
aisahaja44 ,yang kosong 02 kurang pendidikannyaa ..kan pendukung Anis dari pikiran turun ke hati ...hanya orang pintar dukung pa Anis.
Bayu Brontoseno ,justru inilah sindiran sangat halus buat Anis dan anak abah..wkwkwkwk...
dewankoro Kingking ,yg menyebab kan pendidikan rendah ya pemimpin yg anda ada d dalam nya
𝗛𝗢𝗟𝗬𝗧𝗘𝗔𝗥𝗦 ,"dan faktanya 20%dr 24%itu bukan krn visi misi anis, tp krn benci jokowi"
maha dewa ,"bagus pak Anies di jadikan sebagai tukang parkir aja ya
diakan cerdas untuk ngatur"
@PERWIRA ,Cangkemu !!!
deryo kudasai ,maksudnya sebagian besar yg TDK mendukung Anies adalah mereka yg pendidikannya rendah
MULYONO ,rendah tpi ga ngibul....ga banyak ngomong muter muter....buat apa lu pintar tapi pintar boongin
@taraulin ,"😁 Alhamdulillah Indonesia Saat ini Aman Damai dan Baik-baik saja.
KASIHAAN @Anies Rasyid Baswedan SAAT INI DIA ANIES SEDANG TIDAK BAIK-BAIK SAJA. 😁"
asih ,"pendidikan baik itu yg bicaranya bisa mbulet dan bisa waton ngeyel ya pak? maaf pak, menurut saya justru pendukung 01 seperti manusia yg baru keluar dari gua.💝✌️✌️💝"
putra Rimba ,"mungkin pendidikan nya pendukung Anies rendah seperti yg kau ucapkan, tapi kecerdasan nya yg tinggi ,makanya mau mendukung pak Anies capres yg bijak."
user9959181997375 ,maksunya pendidikan rendah itu bukan masalah sakolah.tapi pendidikan masalah aqidah ...mungkin itu ya....
@rudan ,gass hilirisasi
Brian Sarwono ,Taareekk
Ady Suyatno ,sombong amat lo cuk
yon3AR ,lebih mudah...ya krn orang2 sudah mapan..malahan bahaya koruptornya lebih besar y pak
Tatang Yugoswara ,jgn anggap rendah .... minimal yg tidk memilih anis sdh memakai hati nurani nya 🙏
Androidf.   vcncgjjj ,salah bos...masalahnya Anis menggunakan doktrin agama ....wkwkwkwkw
Dju Sinaga ,"Makin ngawur ini kawan,,, banyak juga pemilih Prabowo dengan Pendidikan >S1. Jangan maksa kesimpulan"
kang kung ,"ijasah saya SD ,mahasiswa banyak yg belajar ke saya,dosen nyapun suka minta solusi ke saya ,saya dukung Anis,berarti bukan latarbelakang pendidikan,kualitas pendidikan yg buruk"
Prabu Sayaga ,Pendidikan itu bukan hnya tingkatan sekolah tapi proses befikir
kokiwarteg ,"hadeh hadehh fakta banget,😂😂uda bang udah bang takut ada yg tersinggung,"
sanoza trianda ,alhamdullilah tidak termasuk yang 72 persen😅
CV putra chaniago transport ,100%betul
Nutrition Jogja ,makanya hrus jd presiden biar rakyat pintar
maz_antho0 ,semua tergantung pola pikir individunya
kiciwis07 ,"🤣 awas pak, mulutmu harimau mu 😅 anda dukung siapa sich"
erwind_474 ,rakyat di bodohi dan di takuti dgn bansos.fakta nya seperti itu.salam demokrasi sehat
yyyaaayyaa ,Klo Anies Presiden InsyaaAllah pendidikan akan lebih baik dan tidak ada lagi yg pendidikan rendah🥰
Afmale shop ,bodo amat. 😅😅😅😅✌✌✌
ovi marta arzani ,"bener bg EG,tiap bg EG hdr diTV mnpun,sllu nungguin koment bg EG,bhs anies itu tinggi,hnya org yg crdas yg mmpu memahami kata2ny,SDM rendah mn paham🤭"
D'Sanx Ismawidjaja ,"Saya tak berpendidikan memang, jadi we milih Prabowo Gibran 😁🤭"
p i t h e r ,"Bukan karena pendidikannya baik, tapi karena sentimen agama, coba aja check🤣🤣🤣"
iramasuarahati ,Anies ingin mencerdaskan bangsa sedangkan ada yg sengaja melanggengkan kemiskinan dan kebodohan utk mempertahankan kekuasaan
Destia ,sy dan Ibu sy umur 75 thn sekolah cuma sampai SD dia pilihan pak Anis .
teateh 🦉 ,ga usah pinter2 gaes. pokok bisa gimmick aja bisa kok jadi presiden wakil preside. 🥰
hdayatsptraa ,"semakin rendah di jaman jokowi ,, presiden penghancur indonesia"
JualanNafa ,brati gw masuk yg mudah mengerti pesan Abah🥰🥰😭
chu-u greenie😌 ,"bener ini .kita yg pendidikan nya biasa aja mudeng ko ,yg tinggi pendidikannya aja yg bikin ribet"
Assalam08 ,😂😂😂 02 menang
ncang hakim 70 ,gue paham...kalian paham ga..cerdas
rustanti34 ,saya sependapat tp banyak orang punya ijazah tinggi blm tentu cerdas...saya yng pendidikan biasa biasa tau klau pak Anies tetap yng terbaik
bintijuwir ,"makanya kita butuh pak anis,agar rakyat Indonesia berpendidik tinggi"
Kinanti Gee ,Tuh kan...
Yebe ,"Saran gw buat orang yang mau terdaftar di DPT wajib mengikuti test di kecamatan, kalau score rendah.. yaa gak bisa jadi DPT, bukan org gak ngerti apa"""
Reza Aditya Zein ,"pendidikan emang perlu, tapi yg terpenting cerdas melihat, dan menilai keputusan,"
Hatami Adha ,"Saya walupun pendukung anis,dan bukan termasuk kdlm 72,4% itu.tpi saya akan malu jika Prabowo jdi presiden negara menjadi lbih baik.dalam segi apapun"
OJOL AMANAH ,FAKTA BANGET..
Eroi Venerdy ,Saya rasa pola pikirnya bukan pendidikannya krn bnyk kok pendidikan rendah tp mrk paham maksudnya krn mrk mau berfikir maju& berjuang
Bang Jack ,"Itu bukan masalahnya.
Masalahnya Tim#02 yg curang"
intan huda ,nah....
Siti Jumainah211 ,mau cerdas tdk hrs berpendidikan tinggi
sofia ,....kasian banget ya pendidikan di indonesia
Riffy Adie168 ,betul banget bang😂😂
Emir Indra Haroen ,masalahnya di pengelompokan lo efendi gozali..
yayan s ,"orang yg kurang berpikir panjang , di kasih uang 5rb , langsung coblos😂"
Andre 🇲🇨🇰🇼 ,"makanya mereka mudah dibodoh-bodohi program makan gratis, padahal itu dimulai tahun 2029 😂"
Special_wan ,betul sekali bnyak di sekeliling saya orang2 awan milih prabowo karena nama prawbo terkenal bukan krna visi misi ny
frenty estuningroom ,banyak juga yg s2 s3 tapi nalar nya😏😏
mel ,sya IRT umur 47th lulusan SMA yg dlu nya ga peduli politik tp sjak tau abah koq seru ternyata iya ngikutin politik Alhamdulillah agak pinter 🥰🥰🥰
Ria ,Alhamdulillah aku ada dibarisan 01
evan ,emang saya g sepandai anda
Angga Somantri ,sagelo gelo na urg.. masih waras milih pamimpin ... te kabita ku dahar gratis.. dekah hyg marurah Weh harga... sakitu we abdi mh😁😁
Ferry blues p ,gagasan abah anies hnya bsa diterima oleh kalangan pendidikan yg baik.. dan mayoritas pemilih mudah menerima program makan gratis
snh ,orang pinter pasti paham mungkin itu sindiran
Hahahah ,Masalahnya pendidikan relatif tinggi juga kemakan gimmick2 tiktok skrg🤣🤡
Dini_novita(assyari'un) ,sebenernya gak sepenuhnya begitu pak
erniwuryandari ,betul pak..
vickyoyag ,👍👍👍👍
surya piola ,"kecerdasan intelektual masih kalah dengan kecerdasan sikap , itulah yg ada di Anies ."
bozi1111 ,parah
dairawanto ,Mentri pendidikan gimana . Disitu masalahnya .
mardanius ,Allahuakbar Amin
PT. Hashimawira Bersaudara ,sudah kalah banyak cingcong...
Eli ,"makanya pemimpin itu cerminan dr yg dipimpin, pemilih cerdas berati pemimpinnya cerdas, pemilih yg tdk berpendidikan maka pemimpinnya tdk akan berkualitas, itulah yg terjadi di begri konoha ini"
. ,iya pa sepaham.semoga kedepanya lebih baik lagi dari segala bidang.baik pendidikan nya baik usahanya baik pula agamanya. Aamiin
JakartaBandung ,MAKANYA SUARA S3 JANGAN DISAMAIN BOBOTNYA DENGAN SUARA lulusa
Pipit Q-piet ,i seee.... 😁😁
🧋Aidha®addhiπ√🙈🤫 ,saya hanya lulusan SMP pak dan saya orang kampung tapi saya mengerti apa yang disampaikan pak Anis 👍👍
kuluk ,😁😁😁
blue_black ,gak bahaya ta omonganmu
musli894 ,"merasa paling pintar,?
itu menurut yg kalah,menurut yg menang,, rakyat sudah cerdas utk memilih,"
ook husein ,emang swpwrti itu..didaerah saya ncoblos preaiden yg dipilih yg ngasih bantuan
gendisfauzi133 ,tul
jukistory12 ,Alhamdulillah pendidikan gua golongan baik
am3103aja ,@am3103aja:berpendidikan baik beda dgn yg sekolahnya tinggi..fakta yg sekolah tinggi tunduk ama Gibran😂 ini masalahnya😂😎
Ismikurnia ,saya lulusan SMA tapi saya mengerti pisimisi pak Anis.
jayoez ,ini ni yang membuat suara pak Anis rendah 😁
ORG KALBAR69 ,klw bgtu seiring sjln apa yg dikatakan kn pk ridwan kamil...
arvino ,"sy lulusan SMP tp pas pa anis menjelaskan sesuatu begitu mudah dimengerti terarah, terukur, jelas maksud yg disampaikan"
endless love shop ,Saya gk sekolah tinggi tapi saya mengerti apa yg dibahas pak anies mknya saya pilih beliau
Rengganies ,setuju..
Trizz ,"gila... 72,4% pendidikan rendah
dan yg berjuang untuk mereka 01
dan mereka lebih memilih gimmick makan siang gratis 😂"
Agus Bintang215 ,mangkanya orang cerdas sulit untuk menang.. bagaimana mo pinter bangsa ini
fbri_haw ,"saya ga pinter2 amat pak ,, tp saya tau siapa yg berpihak kerakyat ,, tau siapa yg bawa gagasan untuk negeri ini .."
sitis ,oleh karena itu kita cari pemimpin yg cerdas.. ..supaya di hargai.di mata dunia...klo pemimpin planga plogo ya sama aja kayak rakyat biasa
Aprilino Prayogi ,cukup punya logika aja si😂👍
H🇮🇩 ,benar
@marcosadewomangkuwanitalimo ,"gimana nggak gitu, la wong uang rakyat di koropsi terus,sama gerombolan Lo, gimana bisa sekolah"
Mozupick788 ,Benar ..
damar ,fakta
Farafela ,terprovokasi media apalagi TKI...
isjim45 ,yg di suap uang sama bansos
jokoriyanto ,tp rakyat yg berpendidikanya rendah klu tau salah dia g berani melannggar..lain yg berpendidikan tau salah tp dia langgar...itu fakta...😁😂
pain ,makanya 02 bahasnya angin mulu..dia yg gak paham anies yg di ejek wkwkw
Tobo kito kolah ,"apakah anda termasuk dalam 72,4% itu ya pak?😂"
mariamratna02 ,aku jga lulsan sd jga sata mengerti semua ggasan pa anis apapun yg terjadii keadaan politik kita
Musda Lifah6970 ,"masalahnya kita udah muak dengan yg pintar ,lebih yg ke tulus aja"
ovarybbyspa ,benar juga
wong cilik 🇲🇨 ,ya... apalagi ada yg takut bantuan BLT dan PKH di cabut
🐊 pawang buaya 🐊 ,makany diperlukan pendidikan gratis biar pd cerdas bknny malah Indonesia menuju mukbang bkn bgtu para saksi?
opajac ,untung saya bodoh
cui Lan seng ,iya betul.. maka itu Pak anis cocok jdi presiden Yaman🤔
Mas Nano ,👍👍👍👍betul bnget bung efendi
alfarizky489 ,fakta pak. rata2 orang dikampungku hanya penikmat video yg viral menjelekan tentang pak Anies. gak mau cari fakta ketik sendiri hasil kerjanya.😭
scorpion11191 ,"sudah tau gitu pakai tagar orang cerdas , yg pendidikannya baik jd tersinggung karena kriteria cerdas cuma dilihat dari pilihan paslonya 😁"
uwuisie8 ,dunia sudah terbalik pak
PURNAMAHELMET29 ,"selamat jika mmang 02 yg menang.. sy respect 😊
dan utk pa anies sy akan tetap mengikuti jejak langkah bp kedepan seperti apa.krna bpa bagi saya seorang guru yg bisa sy pegang sbg Pedoman politik 😊"
Ribka Putri Kristina ,waduh sipaling intelektual
ksrevag24 ,terbukti dgn liat berita kemarin di channel CNN pemilih 02 40% kalangan pendidikan SD dan 42% kalangan pendidikan SMP tp gpp sah2 aja🙏
Pompom ,pendidikan sy baik tp pilih 02
nonisongi ,👍👍
Madaraa. ,ngeles ah akui aja lo kalah😁😁😁🤭✌️
nurjamil1232 ,asyikk makan gratis jadi g perlu kerja cape 2 LGI kita
Teknisi Freeyork ,S1 jurusan cikampek tgpriok..
Cv. AB kontraktor ✔️ ,❤ anisss
SASTRO Jr ,"Yg ku heran, sdh tahu pendukungnya ANIS org2 PINTER. tP kok kampanyenya melibatkan MALAIKAT, SURGA dan NERAKA. org CERDAS pasti paham Rekam Jejak ANIS"
